cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,2178,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,2224,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,2068,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,1952,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,2418,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,2659,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,2730,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,3164,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,3053,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,3002,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,2773,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,3030,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2012,3018,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2013,2928,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2014,2643,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2015,1975,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2016,2228,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2017,1335,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2018,891,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2019,1189,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2020,1218,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2021,1575,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2022,1505,Accidentes
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,1997,14,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,1998,6,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,1999,7,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2000,26,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2001,5,Víctimas
